,Name,Founded year,Total Funding Amount,Funding Rounds,Funding currency code,Total Employees,First Office,City,Location
134,The Resumator,2009,2975000,5,['USD'],40,"{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Pittsburgh', 'state_code': 'PA', 'country_code': 'USA', 'latitude': 40.438423, 'longitude': -80.001933}",Pittsburgh,"{'type': 'Point', 'coordinates': [-80.001933, 40.438423]}"
135,Geodelic Systems,2008,10500000,3,"[None, 'USD']",30,"{'description': 'Geodelic HQ', 'address1': '3384 Robertson Place', 'address2': 'Suite 100', 'zip_code': '90034', 'city': 'Los Angeles', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.005914, 'longitude': -118.488129}",Los Angeles,"{'type': 'Point', 'coordinates': [-118.488129, 34.005914]}"
136,Fliptop,2010,6785000,4,['USD'],16,"{'description': 'Headquarters', 'address1': '580 Howard Street', 'address2': 'Suite 201', 'zip_code': '94105', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.775206, 'longitude': -122.419209}",San Francisco,"{'type': 'Point', 'coordinates': [-122.419209, 37.775206]}"
137,Collecta,2008,6580000,2,['USD'],10,"{'description': 'HQ', 'address1': '1438 9th Street', 'address2': '', 'zip_code': '90401', 'city': 'Santa Monica', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",Santa Monica,"{'type': 'Point', 'coordinates': [None, None]}"
138,ChallengePost,2009,4600000,2,['USD'],17,"{'description': '', 'address1': '425 West 13th Street', 'address2': 'Suite 504', 'zip_code': '10014', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.7408042, 'longitude': -74.00717}",New York,"{'type': 'Point', 'coordinates': [-74.00717, 40.7408042]}"
139,GameChanger Media,2009,3637657,5,['USD'],20,"{'description': 'New York Office', 'address1': '86 Chambers St', 'address2': '2nd Floor', 'zip_code': '10007', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.7078343, 'longitude': -74.0136605}",New York,"{'type': 'Point', 'coordinates': [-74.0136605, 40.7078343]}"
140,Producteev,2008,1310000,3,['USD'],10,"{'description': 'Headquarters', 'address1': '242W 30th Street', 'address2': 'Suite 501', 'zip_code': '10001', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.775309, 'longitude': -73.983656}",New York,"{'type': 'Point', 'coordinates': [-73.983656, 40.775309]}"
141,Stack Exchange,2008,18000000,2,['USD'],100,"{'description': 'New York Office', 'address1': '55 Broadway 26 FL', 'address2': '', 'zip_code': '10006', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': None, 'longitude': None}",New York,"{'type': 'Point', 'coordinates': [None, None]}"
142,TheWrap,2008,3500000,3,['USD'],5,"{'description': 'Headquarters', 'address1': '1229a Montana Avenue', 'address2': '', 'zip_code': '90403', 'city': 'Santa Monica', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",Santa Monica,"{'type': 'Point', 'coordinates': [None, None]}"
143,Wahanda,2008,7000000,2,['GBP'],50,"{'description': 'London Office', 'address1': 'Floor 4 Great Titchfield House', 'address2': '14-18 Great Titchfield Street', 'zip_code': 'W1W 8BD', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 41.792265, 'longitude': 1.996567}",London,"{'type': 'Point', 'coordinates': [1.996567, 41.792265]}"
144,Simulmedia,2009,57250008,6,['USD'],35,"{'description': '', 'address1': '670 Broadway', 'address2': 'Second Floor', 'zip_code': '10012', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.727216, 'longitude': -73.994797}",New York,"{'type': 'Point', 'coordinates': [-73.994797, 40.727216]}"
145,tracx,2008,7900000,2,['USD'],40,"{'description': 'HQ', 'address1': '104 West 27th Street,', 'address2': '3rd Floor', 'zip_code': '10001', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 32.0554, 'longitude': 34.7595}",New York,"{'type': 'Point', 'coordinates': [34.7595, 32.0554]}"
146,Syncplicity,2008,2350000,1,['USD'],25,"{'description': '', 'address1': '1134 Crane Street', 'address2': '', 'zip_code': '94025', 'city': 'Menlo Park', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.814202, 'longitude': -122.477959}",Menlo Park,"{'type': 'Point', 'coordinates': [-122.477959, 37.814202]}"
147,trueAnthem,2008,7481854,3,['USD'],10,"{'description': 'Mailing Address', 'address1': 'PO Box 330536', 'address2': '', 'zip_code': '94133', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.8059887, 'longitude': -122.4099154}",San Francisco,"{'type': 'Point', 'coordinates': [-122.4099154, 37.8059887]}"
148,Outright,2008,7500000,2,['USD'],20,"{'description': 'Headquarters', 'address1': '191 Castro St.', 'address2': 'Ste. 200', 'zip_code': '94041', 'city': 'Mountain View', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.287285, 'longitude': -121.942932}",Mountain View,"{'type': 'Point', 'coordinates': [-121.942932, 37.287285]}"
149,SiSense,2010,10000000,1,['USD'],50,"{'description': 'World Headquarters', 'address1': '36 Hanamal st.', 'address2': '', 'zip_code': '', 'city': 'Tel Aviv', 'state_code': None, 'country_code': 'ISR', 'latitude': None, 'longitude': None}",Tel Aviv,"{'type': 'Point', 'coordinates': [None, None]}"
150,Pict,2012,1400000,1,['USD'],5,"{'description': '', 'address1': '', 'address2': '', 'zip_code': '94105', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",San Francisco,"{'type': 'Point', 'coordinates': [None, None]}"
151,CoTweet,2009,1100000,1,['USD'],18,"{'description': '', 'address1': 'Pier 38', 'address2': '', 'zip_code': '94107', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.7405936, 'longitude': -122.3764714}",San Francisco,"{'type': 'Point', 'coordinates': [-122.3764714, 37.7405936]}"
152,People Capital,2008,2500000,1,['USD'],10,"{'description': 'Headquarters', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.756054, 'longitude': -73.986951}",New York,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}"
153,Cloudant,2008,18250000,8,['USD'],70,"{'description': '', 'address1': '129 South Street', 'address2': '', 'zip_code': '02111', 'city': 'Boston', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.35892, 'longitude': -71.05781}",Boston,"{'type': 'Point', 'coordinates': [-71.05781, 42.35892]}"
154,Smallaa,2008,3000000,1,['USD'],5,"{'description': 'Smallaa Inc', 'address1': '2860 Zanker Road Ste 108', 'address2': '', 'zip_code': '95134', 'city': 'San Jose', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.39458, 'longitude': -121.928393}",San Jose,"{'type': 'Point', 'coordinates': [-121.928393, 37.39458]}"
155,GoingOn,2008,8500000,3,['USD'],40,"{'description': 'GoingOn Networks, Inc.', 'address1': '450 Sansome Street', 'address2': '12th Floor', 'zip_code': '94111', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.782263, 'longitude': -122.392142}",San Francisco,"{'type': 'Point', 'coordinates': [-122.392142, 37.782263]}"
156,Struq,2008,8500000,1,['USD'],50,"{'description': 'London HQ', 'address1': '5th Floor Waverley House', 'address2': '7-11 Noel Street', 'zip_code': 'W1F 8GQ', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5152023, 'longitude': -0.1366861}",London,"{'type': 'Point', 'coordinates': [-0.1366861, 51.5152023]}"
157,BrandYourself,2009,1500000,2,['USD'],22,"{'description': '', 'address1': '120 Walker St', 'address2': 'FL 2', 'zip_code': '10013', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 42.275263, 'longitude': -71.24762}",New York,"{'type': 'Point', 'coordinates': [-71.24762, 42.275263]}"
158,AdRocket,2008,1000000,1,['USD'],5,"{'description': 'AdRocket Headquarters', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.775196, 'longitude': -122.419204}",San Francisco,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}"
159,BrightScope,2008,5900000,3,['USD'],70,"{'description': 'BrightScope', 'address1': 'UTC/La Jolla', 'address2': '', 'zip_code': '', 'city': 'San Diego', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 32.873081, 'longitude': -117.2117395}",San Diego,"{'type': 'Point', 'coordinates': [-117.2117395, 32.873081]}"
160,Teambox,2009,6750000,3,['USD'],35,"{'description': 'Barcelona Office', 'address1': 'Ronda Universitat 31', 'address2': '5o 4a', 'zip_code': '08007', 'city': 'Barcelona', 'state_code': 'CA', 'country_code': 'ESP', 'latitude': 41.4063346, 'longitude': 2.1920231}",Barcelona,"{'type': 'Point', 'coordinates': [2.1920231, 41.4063346]}"
161,iCharts,2008,3100000,1,['USD'],16,"{'description': 'Main Office', 'address1': '440 North Wolfe Road', 'address2': '', 'zip_code': '94085', 'city': 'Sunnyvale', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.384239, 'longitude': -122.012475}",Sunnyvale,"{'type': 'Point', 'coordinates': [-122.012475, 37.384239]}"
162,Cloudkick,2009,2750000,2,['USD'],15,"{'description': 'Cloudkick', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",San Francisco,"{'type': 'Point', 'coordinates': [None, None]}"
163,Inuvo,2009,4200000,1,['USD'],50,"{'description': 'Clearwater, FL', 'address1': '15500 Lightwave Dr.', 'address2': 'Suite 300', 'zip_code': '33760', 'city': 'Clearwater', 'state_code': 'FL', 'country_code': 'USA', 'latitude': 27.913011, 'longitude': -82.702449}",Clearwater,"{'type': 'Point', 'coordinates': [-82.702449, 27.913011]}"
164,PeekYou,2012,1825000,5,['USD'],20,"{'description': None, 'address1': None, 'address2': None, 'zip_code': None, 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.757929, 'longitude': -73.985506}",New York,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}"
165,Vuclip,2008,27000000,3,['USD'],100,"{'description': 'Head Quarters', 'address1': '1551 McCarthy Boulevard', 'address2': 'Suite 213', 'zip_code': '95035', 'city': 'Milpitas', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.406027, 'longitude': -121.918642}",Milpitas,"{'type': 'Point', 'coordinates': [-121.918642, 37.406027]}"
166,BASH Gaming,2010,1000000,1,['USD'],25,"{'description': 'US Office', 'address1': '', 'address2': '', 'zip_code': '94555', 'city': 'Fremont', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.5561712, 'longitude': -122.0780632}",Fremont,"{'type': 'Point', 'coordinates': [-122.0780632, 37.5561712]}"
167,RxVantage,2008,2750000,2,['USD'],15,"{'description': 'Headquarters', 'address1': '8603 Washington Blvd.', 'address2': '', 'zip_code': '90232', 'city': 'Culver City', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.030479, 'longitude': -118.3814329}",Culver City,"{'type': 'Point', 'coordinates': [-118.3814329, 34.030479]}"
168,Wiggio,2008,2939581,4,['USD'],4,"{'description': 'Wiggio', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Boston', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.3584308, 'longitude': -71.0597732}",Boston,"{'type': 'Point', 'coordinates': [-71.0597732, 42.3584308]}"
169,SproutBox,2008,1015000,1,['USD'],10,"{'description': 'The Box', 'address1': '', 'address2': '', 'zip_code': '47404', 'city': 'Bloomington', 'state_code': 'IN', 'country_code': 'USA', 'latitude': 39.164287, 'longitude': -86.526904}",Bloomington,"{'type': 'Point', 'coordinates': [-86.526904, 39.164287]}"
170,Tinychat,2009,1500000,1,['USD'],5,"{'description': 'Home Office', 'address1': 'PO Box 431', 'address2': '', 'zip_code': '11542', 'city': 'Glen Cove', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 42.3756409, 'longitude': -72.5196907}",Glen Cove,"{'type': 'Point', 'coordinates': [-72.5196907, 42.3756409]}"
171,Tongal,2009,16000000,2,['USD'],8,"{'description': 'Headquarters', 'address1': '1918 Main Street', 'address2': '2nd Floor', 'zip_code': '90405', 'city': 'Santa Monica', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.007112, 'longitude': -118.489748}",Santa Monica,"{'type': 'Point', 'coordinates': [-118.489748, 34.007112]}"
172,Posterous,2008,10140000,4,['USD'],9,"{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.775196, 'longitude': -122.419204}",San Francisco,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}"
173,gdgt,2009,3715000,2,['USD'],17,"{'description': '', 'address1': '901 Mission St.', 'address2': 'Suite 209', 'zip_code': '94103', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",San Francisco,"{'type': 'Point', 'coordinates': [None, None]}"
174,Sofa Labs,2009,1200000,2,"[None, 'USD']",5,"{'description': '', 'address1': '300 South Ellsworth Avenue', 'address2': '', 'zip_code': '94401', 'city': 'San Mateo', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.5646055, 'longitude': -122.3229235}",San Mateo,"{'type': 'Point', 'coordinates': [-122.3229235, 37.5646055]}"
175,Sailthru,2008,48000000,4,['USD'],85,"{'description': 'New York', 'address1': '160 Varick St.', 'address2': '12th floor', 'zip_code': '10013', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.738143, 'longitude': -74.008159}",New York,"{'type': 'Point', 'coordinates': [-74.008159, 40.738143]}"
176,Pixelpipe,2008,2300000,2,"[None, 'USD']",10,"{'description': 'World Headquarters', 'address1': '321 7th St', 'address2': '', 'zip_code': '94103', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.764395, 'longitude': -122.401024}",San Francisco,"{'type': 'Point', 'coordinates': [-122.401024, 37.764395]}"
177,Chartbeat,2009,14475000,4,['USD'],50,"{'description': '', 'address1': '826 Broadway', 'address2': '6th Floor', 'zip_code': '10003', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.73343, 'longitude': -73.990967}",New York,"{'type': 'Point', 'coordinates': [-73.990967, 40.73343]}"
178,Social Gaming Network,2011,17100000,4,"['USD', None]",100,"{'description': 'HQ Los Angeles', 'address1': '9570 W. Pico Blvd 3rd Floor', 'address2': '', 'zip_code': '90035', 'city': 'Los Angeles', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.446823, 'longitude': -122.161523}",Los Angeles,"{'type': 'Point', 'coordinates': [-122.161523, 37.446823]}"
179,UsingMiles,2010,3265000,4,['USD'],15,"{'description': 'Headquarters', 'address1': '1514 Blake St', 'address2': '', 'zip_code': '80202', 'city': 'Denver', 'state_code': 'CO', 'country_code': 'USA', 'latitude': 39.749671, 'longitude': -104.9998449}",Denver,"{'type': 'Point', 'coordinates': [-104.9998449, 39.749671]}"
180,Emotive Communications,2011,13950000,2,['USD'],25,"{'description': 'HQ', 'address1': '345 California Street', 'address2': '10th Floor', 'zip_code': '94104', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",San Francisco,"{'type': 'Point', 'coordinates': [None, None]}"
181,Dukky,2008,1000000,1,['USD'],15,"{'description': '', 'address1': '1200 West Causeway Approach', 'address2': 'Suite 24', 'zip_code': '70471', 'city': 'Mandeville', 'state_code': 'LA', 'country_code': 'USA', 'latitude': 29.973994, 'longitude': -90.082202}",Mandeville,"{'type': 'Point', 'coordinates': [-90.082202, 29.973994]}"
182,Infochimps,2009,5350000,5,['USD'],24,"{'description': 'Infochimps House of Data', 'address1': '1214 W 6th St', 'address2': 'Suite 202', 'zip_code': '78703', 'city': 'Austin', 'state_code': 'TX', 'country_code': 'USA', 'latitude': 30.2734822, 'longitude': -97.7588828}",Austin,"{'type': 'Point', 'coordinates': [-97.7588828, 30.2734822]}"
183,Cognitive Match,2009,10150000,3,['USD'],40,"{'description': 'London', 'address1': '33/14 Great Saint Thomas Apostle', 'address2': '', 'zip_code': 'EC4V 2BB', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': 51.5119418, 'longitude': -0.0936688}",London,"{'type': 'Point', 'coordinates': [-0.0936688, 51.5119418]}"
184,Keas,2008,25500000,3,['USD'],50,"{'description': '', 'address1': '625 Market Street fl. 9', 'address2': '', 'zip_code': '94105', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",San Francisco,"{'type': 'Point', 'coordinates': [None, None]}"
185,Milo,2008,4950000,2,['USD'],20,"{'description': 'Headquarters', 'address1': '170A University Ave.', 'address2': '', 'zip_code': '94301', 'city': 'Palo Alto', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.444531, 'longitude': -122.163352}",Palo Alto,"{'type': 'Point', 'coordinates': [-122.163352, 37.444531]}"
186,appssavvy,2008,10200000,3,['USD'],20,"{'description': 'Headquarters', 'address1': '594 Broadway', 'address2': 'Suite 207', 'zip_code': '10012', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.724604, 'longitude': -73.996876}",New York,"{'type': 'Point', 'coordinates': [-73.996876, 40.724604]}"
187,Gravity,2009,20600000,2,['USD'],12,"{'description': '', 'address1': 'Project Rover, Inc.', 'address2': '', 'zip_code': '', 'city': 'Santa Monica', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.007967, 'longitude': -118.489681}",Santa Monica,"{'type': 'Point', 'coordinates': [-118.489681, 34.007967]}"
188,Widgetbox,2012,14500000,3,['USD'],30,"{'description': None, 'address1': None, 'address2': None, 'zip_code': '94111', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.798853, 'longitude': -122.398599}",San Francisco,"{'type': 'Point', 'coordinates': [-122.398599, 37.798853]}"
189,Lolapps,2008,4000000,1,['USD'],65,"{'description': '', 'address1': '116 New Montgomery', 'address2': '', 'zip_code': '94105', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.7870923, 'longitude': -122.3999719}",San Francisco,"{'type': 'Point', 'coordinates': [-122.3999719, 37.7870923]}"
190,Sauce Labs,2008,14000000,3,['USD'],40,"{'description': '', 'address1': '500 Third St.', 'address2': '', 'zip_code': '94107', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",San Francisco,"{'type': 'Point', 'coordinates': [None, None]}"
191,Jelli,2008,16600000,4,['USD'],12,"{'description': 'Jelli, Inc.', 'address1': '4 West 4th Avenue', 'address2': 'Suite 206', 'zip_code': '94402', 'city': 'San Mateo', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.55909, 'longitude': -122.321836}",San Mateo,"{'type': 'Point', 'coordinates': [-122.321836, 37.55909]}"
192,iGuiders,2008,1170000,3,['USD'],5,"{'description': '', 'address1': '23811 Chagrin', 'address2': 'Boulevard Suite 244', 'zip_code': '44122', 'city': 'Beachwood', 'state_code': 'OH', 'country_code': 'USA', 'latitude': None, 'longitude': None}",Beachwood,"{'type': 'Point', 'coordinates': [None, None]}"
193,SimpleGeo,2009,9807367,3,['USD'],25,"{'description': 'SimpleGeo HQ', 'address1': '41 Decatur', 'address2': '', 'zip_code': '94103', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",San Francisco,"{'type': 'Point', 'coordinates': [None, None]}"
194,AudioMicro,2008,1250000,2,['USD'],10,"{'description': '', 'address1': '13351-D Riverside Dr #219', 'address2': '', 'zip_code': '91423', 'city': 'Sherman Oaks', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.153588, 'longitude': -118.422495}",Sherman Oaks,"{'type': 'Point', 'coordinates': [-118.422495, 34.153588]}"
195,Medialets,2008,28400000,4,['USD'],60,"{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.756054, 'longitude': -73.986951}",New York,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}"
196,Gridstore,2009,25000000,3,"['USD', 'EUR']",31,"{'description': 'Gridstore', 'address1': '1975 Lndings Drive', 'address2': '', 'zip_code': '94043', 'city': 'Mountain View', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.4189073, 'longitude': -122.0884286}",Mountain View,"{'type': 'Point', 'coordinates': [-122.0884286, 37.4189073]}"
197,Avenue Right,2008,1131250,1,['USD'],14,"{'description': 'Avenue Right, LLC', 'address1': '1854 NDSU Research Circle N', 'address2': '', 'zip_code': '58102', 'city': 'Fargo', 'state_code': 'ND', 'country_code': 'USA', 'latitude': 46.9037602, 'longitude': -96.8098798}",Fargo,"{'type': 'Point', 'coordinates': [-96.8098798, 46.9037602]}"
198,Stack Exchange,2008,18000000,2,['USD'],100,"{'description': 'New York Office', 'address1': '55 Broadway 26 FL', 'address2': '', 'zip_code': '10006', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': None, 'longitude': None}",New York,"{'type': 'Point', 'coordinates': [None, None]}"
199,Foodista,2008,1300000,2,['USD'],3,"{'description': '', 'address1': '24 Roy Street,', 'address2': 'Suite 210', 'zip_code': '98109', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 47.6254784, 'longitude': -122.3564234}",Seattle,"{'type': 'Point', 'coordinates': [-122.3564234, 47.6254784]}"
200,oneforty,2009,2345000,4,['USD'],5,"{'description': 'Main office', 'address1': '614 Massachusetts Ave, Suite 203', 'address2': '', 'zip_code': '02139', 'city': 'Cambridge', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.364014, 'longitude': -71.101375}",Cambridge,"{'type': 'Point', 'coordinates': [-71.101375, 42.364014]}"
201,Diffbot,2010,2000000,1,['USD'],6,"{'description': '', 'address1': '395 Page Mill Rd', 'address2': '', 'zip_code': '94306', 'city': 'Palo Alto', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}",Palo Alto,"{'type': 'Point', 'coordinates': [None, None]}"
202,SnagFilms,2008,29472731,4,['USD'],40,"{'description': 'NYC', 'address1': '665 Broadway', 'address2': 'Suite', 'zip_code': '10012', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': None, 'longitude': None}",New York,"{'type': 'Point', 'coordinates': [None, None]}"
